"Country","Year","Respondent","UrbanRural","Age","EconomicSituation","LivingConditions","Interest","Religion","TaxMorale","TrustPresident","TrustParliament","TrustCourts","CorruptionPresident","CorruptionParliament","CorruptionOfficials","CorruptionCouncilors","CorruptionTax","Gender","AvoidHowOften","TrustTax","SelfEmployedTax","AvoidReason","EconomicPolicies","LocalGvtTaxes","Enforce1","Enforce2","CorruptionOfficialsLocal","CorruptionOfficialsNational"
"Benin",2008,"BEN0001_2008",1,38,2,2,4,2,5,4,2,1,NA,4,3,3,3,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"Benin",2008,"BEN0002_2008",1,46,2,3,4,2,5,2,2,3,3,2,3,2,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"Benin",2008,"BEN0003_2008",1,28,1,3,3,2,2,4,3,3,3,3,3,3,4,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"Benin",2008,"BEN0004_2008",1,30,4,3,1,3,4,2,2,2,4,3,3,4,3,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"Benin",2008,"BEN0005_2008",1,23,3,2,2,3,4,4,4,4,4,4,4,4,4,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"Benin",2008,"BEN0006_2008",1,24,1,2,4,1,4,2,3,3,2,2,2,2,3,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
"Benin",2008,"BEN0007_2008",1,40,2,2,3,2,4,3,2,2,2,2,3,3,3,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"Benin",2008,"BEN0008_2008",1,50,1,1,4,3,4,4,3,2,2,2,2,2,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"Benin",2008,"BEN0009_2008",1,24,3,3,3,1,5,3,3,3,4,4,4,3,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"Benin",2008,"BEN0010_2008",1,36,2,2,3,2,5,1,3,2,4,3,4,2,3,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
