"Country","Respondent","UrbanRural","Age","EconomicSituation","LivingConditions","Interest","Religion","TaxMorale","TrustPresident","TrustParliament","TrustCourts","CorruptionPresident","CorruptionParliament","CorruptionOfficials","CorruptionCouncilors","CorruptionTax","Gender","AvoidHowOften","TrustTax","SelfEmployedTax","AvoidReason","EconomicPolicies","LocalGvtTaxes","Enforce1","Enforce2","CorruptionOfficialsLocal","CorruptionOfficialsNational","Year"
2,"BOT0842",2,48,4,2,2,2,4,0,3,9,1,1,NA,0,9,1,NA,NA,NA,NA,4,2,2,4,1,1,2005
2,"BOT0843",2,20,3,3,0,0,4,3,0,3,0,0,NA,0,0,2,NA,NA,NA,NA,2,9,3,3,0,0,2005
2,"BOT0846",1,50,2,2,2,0,5,2,2,2,9,9,NA,9,9,1,NA,NA,NA,NA,4,9,3,3,9,9,2005
2,"BOT0847",1,24,1,1,3,0,1,1,1,0,9,9,NA,9,1,2,NA,NA,NA,NA,3,3,1,4,1,1,2005
2,"BOT0848",1,40,2,2,1,0,9,2,2,9,9,1,NA,1,9,1,NA,NA,NA,NA,4,3,2,4,1,2,2005
2,"BOT0849",1,35,4,4,2,1,4,1,2,3,9,9,NA,0,9,2,NA,NA,NA,NA,4,3,3,3,2,2,2005
2,"BOT0853",2,27,2,4,0,2,5,3,1,1,2,3,NA,2,1,2,NA,NA,NA,NA,4,3,3,4,2,2,2005
2,"BOT0854",2,31,4,4,2,3,4,3,3,3,1,1,NA,1,1,1,NA,NA,NA,NA,4,3,3,4,2,2,2005
2,"BOT0856",2,32,4,4,3,0,2,1,1,2,9,9,NA,9,9,1,NA,NA,NA,NA,4,3,4,4,9,9,2005
2,"BOT0857",2,40,3,3,1,0,4,3,3,3,0,1,NA,0,0,1,NA,NA,NA,NA,2,3,3,3,0,0,2005
2,"BOT0858",2,32,4,2,3,0,2,3,3,3,0,0,NA,0,0,1,NA,NA,NA,NA,2,9,3,3,0,0,2005
2,"BOT0860",2,64,4,2,0,1,2,3,3,3,0,0,NA,0,0,2,NA,NA,NA,NA,3,9,3,3,0,0,2005
2,"BOT0863",2,25,4,4,2,0,9,3,1,3,1,3,NA,1,9,1,NA,NA,NA,NA,4,9,3,3,1,1,2005
2,"BOT0864",2,56,2,2,0,2,9,3,3,9,1,1,NA,1,9,2,NA,NA,NA,NA,9,3,3,3,1,1,2005
2,"BOT0874",2,47,2,2,1,0,3,3,3,9,9,9,NA,9,9,1,NA,NA,NA,NA,3,9,3,3,9,9,2005
2,"BOT0875",2,46,3,2,1,0,3,3,3,1,1,1,NA,1,9,2,NA,NA,NA,NA,3,9,3,3,1,9,2005
2,"BOT0877",2,999,4,2,3,0,4,3,1,1,1,1,NA,1,1,2,NA,NA,NA,NA,1,3,2,3,1,1,2005
2,"BOT0878",2,39,2,2,2,0,3,2,2,2,2,2,NA,2,2,2,NA,NA,NA,NA,5,2,9,9,2,2,2005
2,"BOT0879",2,39,2,2,3,0,3,2,1,1,2,2,NA,2,2,1,NA,NA,NA,NA,5,2,9,9,2,2,2005
2,"BOT0887",2,24,4,2,3,0,5,2,1,3,2,2,NA,2,9,1,NA,NA,NA,NA,4,3,2,4,1,1,2005
2,"BOT0893",2,57,2,2,2,0,9,3,3,9,2,2,NA,2,2,1,NA,NA,NA,NA,4,3,2,4,2,2,2005
2,"BOT0895",2,89,2,1,0,0,3,1,1,2,9,1,NA,9,0,1,NA,NA,NA,NA,1,9,4,4,9,9,2005
2,"BOT0896",2,38,9,2,1,2,9,2,2,9,1,1,NA,1,9,2,NA,NA,NA,NA,4,3,9,9,1,1,2005
2,"BOT0897",2,25,2,2,2,2,9,3,3,3,1,1,NA,0,9,2,NA,NA,NA,NA,2,9,2,3,3,3,2005
2,"BOT0898",2,34,2,2,2,2,9,0,2,3,1,1,NA,9,9,1,NA,NA,NA,NA,4,4,3,3,0,0,2005
2,"BOT0900",2,22,4,4,2,0,5,1,2,0,2,1,NA,2,1,1,NA,NA,NA,NA,9,3,2,4,2,2,2005
2,"BOT0903",2,35,4,4,2,0,4,3,3,3,3,3,NA,3,3,1,NA,NA,NA,NA,3,9,3,3,3,3,2005
2,"BOT0905",2,46,3,3,3,2,4,3,3,3,0,1,NA,1,1,2,NA,NA,NA,NA,3,3,4,4,1,1,2005
2,"BOT0906",2,49,3,4,1,1,2,0,0,0,3,0,NA,0,0,1,NA,NA,NA,NA,3,2,3,3,0,0,2005
2,"BOT0910",2,23,2,2,3,0,5,1,1,1,1,1,NA,1,1,2,NA,NA,NA,NA,4,2,3,4,1,1,2005
2,"BOT0913",1,45,4,4,2,1,9,3,3,3,9,9,NA,9,9,1,NA,NA,NA,NA,4,3,2,4,9,9,2005
2,"BOT0914",1,63,2,2,2,2,4,1,9,2,2,2,NA,2,1,2,NA,NA,NA,NA,9,2,3,4,2,2,2005
2,"BOT0926",2,80,9,2,2,0,1,0,0,1,2,1,NA,9,9,2,NA,NA,NA,NA,1,1,4,4,9,9,2005
2,"BOT0927",2,46,2,2,2,0,9,2,2,9,9,9,NA,9,9,1,NA,NA,NA,NA,9,3,2,4,9,9,2005
2,"BOT0928",2,25,3,3,0,0,4,3,3,9,1,1,NA,1,9,2,NA,NA,NA,NA,9,3,2,4,2,2,2005
2,"BOT0932",1,29,2,2,1,0,4,3,3,3,1,1,NA,1,2,2,NA,NA,NA,NA,1,4,2,3,1,1,2005
2,"BOT0933",1,26,4,3,3,0,4,1,1,3,1,2,NA,1,9,1,NA,NA,NA,NA,4,2,2,3,2,2,2005
2,"BOT0940",2,42,4,2,2,1,4,3,3,3,1,9,NA,1,1,2,NA,NA,NA,NA,5,9,2,3,1,1,2005
2,"BOT0947",2,31,2,2,0,0,3,3,3,0,1,1,NA,1,1,2,NA,NA,NA,NA,4,2,1,4,1,1,2005
2,"BOT0948",2,24,4,4,2,1,3,3,3,3,1,1,NA,1,1,1,NA,NA,NA,NA,3,2,1,4,1,1,2005
2,"BOT0952",2,63,3,2,2,1,4,3,2,1,1,1,NA,1,1,1,NA,NA,NA,NA,3,3,1,4,1,1,2005
